JASLHX010000144.1_1	1111732.AZOD01000024_gene1922	3.03e-116	338.0	COG2371@1|root,COG2371@2|Bacteria,1N7YJ@1224|Proteobacteria,1S1RC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Involved in urease metallocenter assembly. Binds nickel. Probably functions as a nickel donor during metallocenter assembly	ureE	-	-	ko:K03187	-	-	-	-	ko00000	-	-	-	UreE_C,UreE_N
JASLHX010000144.1_4	1111732.AZOD01000024_gene1919	1.11e-218	607.0	COG0829@1|root,COG0829@2|Bacteria,1NY7J@1224|Proteobacteria,1RY0U@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter	ureD	-	-	ko:K03190	-	-	-	-	ko00000	-	-	-	UreD
JASLHX010000145.1_1	1111732.AZOD01000004_gene985	7.65e-258	711.0	COG0814@1|root,COG0814@2|Bacteria,1N35H@1224|Proteobacteria,1RNNC@1236|Gammaproteobacteria,1X9M0@135614|Xanthomonadales	135614|Xanthomonadales	E	Transmembrane amino acid transporter protein	-	-	-	-	-	-	-	-	-	-	-	-	Trp_Tyr_perm
JASLHX010000105.1_6	1111732.AZOD01000020_gene491	0.0	875.0	COG0260@1|root,COG0260@2|Bacteria,1MUF9@1224|Proteobacteria,1RNM1@1236|Gammaproteobacteria,1X38B@135614|Xanthomonadales	135614|Xanthomonadales	E	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides	pepA	-	3.4.11.1	ko:K01255	ko00480,ko01100,map00480,map01100	-	R00899,R04951	RC00096,RC00141	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_M17,Peptidase_M17_N
JASLHX010000196.1_1	1111732.AZOD01000015_gene1434	2.11e-279	764.0	COG1473@1|root,COG1473@2|Bacteria,1MUIV@1224|Proteobacteria,1RQAM@1236|Gammaproteobacteria,1X3CG@135614|Xanthomonadales	135614|Xanthomonadales	S	N-acyl-L-amino acid amidohydrolase	-	-	3.5.1.32	ko:K01451	ko00360,map00360	-	R01424	RC00096,RC00162	ko00000,ko00001,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
JASLHX010000055.1_1	1111732.AZOD01000006_gene145	5.19e-186	518.0	COG0169@1|root,COG0169@2|Bacteria,1MVH4@1224|Proteobacteria,1RPB7@1236|Gammaproteobacteria,1X3RB@135614|Xanthomonadales	135614|Xanthomonadales	E	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)	aroE	GO:0000166,GO:0003674,GO:0003824,GO:0004764,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019632,GO:0019752,GO:0032787,GO:0036094,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576,GO:1901615	1.1.1.25	ko:K00014	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02413	RC00206	ko00000,ko00001,ko00002,ko01000	-	-	-	Shikimate_DH,Shikimate_dh_N
JASLHX010000066.1_6	1111732.AZOD01000035_gene186	3.16e-91	267.0	COG1734@1|root,COG1734@2|Bacteria,1RD08@1224|Proteobacteria,1S47H@1236|Gammaproteobacteria,1XCJH@135614|Xanthomonadales	135614|Xanthomonadales	T	Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression	dksA	-	-	ko:K06204	ko02026,map02026	-	-	-	ko00000,ko00001,ko03000,ko03009,ko03021	-	-	-	zf-dskA_traR
JASLHX010000083.1_5	1111732.AZOD01000014_gene1455	1.38e-199	559.0	COG0787@1|root,COG0787@2|Bacteria,1MV0Q@1224|Proteobacteria,1RM8U@1236|Gammaproteobacteria,1X36D@135614|Xanthomonadales	135614|Xanthomonadales	E	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	alr	-	5.1.1.1	ko:K01775	ko00473,ko01100,ko01502,map00473,map01100,map01502	-	R00401	RC00285	ko00000,ko00001,ko01000,ko01011	-	-	-	Ala_racemase_C,Ala_racemase_N
JASLHX010000034.1_9	1111732.AZOD01000004_gene969	6.94e-269	741.0	COG1114@1|root,COG1114@2|Bacteria,1MVIF@1224|Proteobacteria,1RR3P@1236|Gammaproteobacteria,1XA4Z@135614|Xanthomonadales	135614|Xanthomonadales	E	Branched-chain amino acid transport protein	-	-	-	-	-	-	-	-	-	-	-	-	Branch_AA_trans
JASLHX010000010.1_4	1111732.AZOD01000006_gene50	0.0	1872.0	COG0060@1|root,COG0060@2|Bacteria,1MVBQ@1224|Proteobacteria,1RMTF@1236|Gammaproteobacteria,1X47W@135614|Xanthomonadales	135614|Xanthomonadales	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)	ileS	-	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1,zf-FPG_IleRS
