JASLAY010000153.1_5	1111732.AZOD01000014_gene1455	2.05e-256	703.0	COG0787@1|root,COG0787@2|Bacteria,1MV0Q@1224|Proteobacteria,1RM8U@1236|Gammaproteobacteria,1X36D@135614|Xanthomonadales	135614|Xanthomonadales	E	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	alr	-	5.1.1.1	ko:K01775	ko00473,ko01100,ko01502,map00473,map01100,map01502	-	R00401	RC00285	ko00000,ko00001,ko01000,ko01011	-	-	-	Ala_racemase_C,Ala_racemase_N
JASLAY010000119.1_7	1111732.AZOD01000017_gene355	4.59e-91	267.0	COG1490@1|root,COG1490@2|Bacteria,1RGTV@1224|Proteobacteria,1S61I@1236|Gammaproteobacteria,1X6FE@135614|Xanthomonadales	135614|Xanthomonadales	J	rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality	dtd	GO:0002161,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006399,GO:0006450,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0034660,GO:0043170,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0051499,GO:0051500,GO:0052689,GO:0065007,GO:0065008,GO:0071704,GO:0090304,GO:0106074,GO:0140098,GO:0140101,GO:1901360	-	ko:K07560	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Tyr_Deacylase
JASLAY010000211.1_5	1111732.AZOD01000038_gene365	0.0	875.0	COG0531@1|root,COG0531@2|Bacteria,1MXNJ@1224|Proteobacteria,1RMKV@1236|Gammaproteobacteria,1X49X@135614|Xanthomonadales	135614|Xanthomonadales	E	amino acid	-	-	-	-	-	-	-	-	-	-	-	-	AA_permease_2
JASLAY010000106.1_3	1111732.AZOD01000001_gene1591	1.1e-294	807.0	COG1301@1|root,COG1301@2|Bacteria,1MU0Q@1224|Proteobacteria,1RMEN@1236|Gammaproteobacteria,1X37F@135614|Xanthomonadales	135614|Xanthomonadales	U	Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family	gltP	-	-	ko:K03309	-	-	-	-	ko00000	2.A.23	-	-	SDF
JASLAY010000015.1_2	1111732.AZOD01000006_gene145	5.49e-197	546.0	COG0169@1|root,COG0169@2|Bacteria,1MVH4@1224|Proteobacteria,1RPB7@1236|Gammaproteobacteria,1X3RB@135614|Xanthomonadales	135614|Xanthomonadales	E	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)	aroE	GO:0000166,GO:0003674,GO:0003824,GO:0004764,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019632,GO:0019752,GO:0032787,GO:0036094,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576,GO:1901615	1.1.1.25	ko:K00014	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02413	RC00206	ko00000,ko00001,ko00002,ko01000	-	-	-	Shikimate_DH,Shikimate_dh_N
JASLAY010000103.1_11	1111732.AZOD01000031_gene2027	6.6e-86	265.0	COG1114@1|root,COG1114@2|Bacteria,1MVIF@1224|Proteobacteria,1RR3P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	Component of the transport system for branched-chain amino acids	brnQ	-	-	ko:K03311	-	-	-	-	ko00000	2.A.26	-	-	Branch_AA_trans
JASLAY010000159.1_4	1111732.AZOD01000015_gene1434	3.62e-289	788.0	COG1473@1|root,COG1473@2|Bacteria,1MUIV@1224|Proteobacteria,1RQAM@1236|Gammaproteobacteria,1X3CG@135614|Xanthomonadales	135614|Xanthomonadales	S	N-acyl-L-amino acid amidohydrolase	-	-	3.5.1.32	ko:K01451	ko00360,map00360	-	R01424	RC00096,RC00162	ko00000,ko00001,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
JASLAY010000159.1_6	1111732.AZOD01000015_gene1432	1.87e-196	549.0	COG1473@1|root,COG1473@2|Bacteria,1MUIV@1224|Proteobacteria,1RQAM@1236|Gammaproteobacteria,1X3CG@135614|Xanthomonadales	1236|Gammaproteobacteria	S	N-acyl-L-amino acid amidohydrolase	-	-	-	ko:K01436	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
JASLAY010000004.1_3	1111732.AZOD01000006_gene50	0.0	1192.0	COG0060@1|root,COG0060@2|Bacteria,1MVBQ@1224|Proteobacteria,1RMTF@1236|Gammaproteobacteria,1X47W@135614|Xanthomonadales	135614|Xanthomonadales	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)	ileS	-	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1,zf-FPG_IleRS
JASLAY010000113.1_10	1111732.AZOD01000013_gene1983	0.0	1132.0	COG0442@1|root,COG0442@2|Bacteria,1MU7E@1224|Proteobacteria,1RN5R@1236|Gammaproteobacteria,1X330@135614|Xanthomonadales	135614|Xanthomonadales	J	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS	proS	-	6.1.1.15	ko:K01881	ko00970,map00970	M00359,M00360	R03661	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	HGTP_anticodon,tRNA-synt_2b,tRNA_edit
JASLAY010000027.1_7	1111732.AZOD01000034_gene689	9.53e-316	860.0	COG0037@1|root,COG0037@2|Bacteria,1MU85@1224|Proteobacteria,1RN14@1236|Gammaproteobacteria,1X3XY@135614|Xanthomonadales	135614|Xanthomonadales	D	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine	tilS	-	6.3.4.19	ko:K04075	-	-	R09597	RC02633,RC02634	ko00000,ko01000,ko03016	-	-	-	ATP_bind_3,TilS,TilS_C
