JBKGUT010000011.1_11	1111732.AZOD01000014_gene1455	3.62e-165	472.0	COG0787@1|root,COG0787@2|Bacteria,1MV0Q@1224|Proteobacteria,1RM8U@1236|Gammaproteobacteria,1X36D@135614|Xanthomonadales	135614|Xanthomonadales	E	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	alr	-	5.1.1.1	ko:K01775	ko00473,ko01100,ko01502,map00473,map01100,map01502	-	R00401	RC00285	ko00000,ko00001,ko01000,ko01011	-	-	-	Ala_racemase_C,Ala_racemase_N
JBKGUT010000029.1_2	1111732.AZOD01000031_gene2027	1.28e-262	726.0	COG1114@1|root,COG1114@2|Bacteria,1MVIF@1224|Proteobacteria,1RR3P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	Component of the transport system for branched-chain amino acids	brnQ	-	-	ko:K03311	-	-	-	-	ko00000	2.A.26	-	-	Branch_AA_trans
JBKGUT010000037.1_3	1111732.AZOD01000006_gene145	2.41e-122	357.0	COG0169@1|root,COG0169@2|Bacteria,1MVH4@1224|Proteobacteria,1RPB7@1236|Gammaproteobacteria,1X3RB@135614|Xanthomonadales	135614|Xanthomonadales	E	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)	aroE	GO:0000166,GO:0003674,GO:0003824,GO:0004764,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019632,GO:0019752,GO:0032787,GO:0036094,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576,GO:1901615	1.1.1.25	ko:K00014	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02413	RC00206	ko00000,ko00001,ko00002,ko01000	-	-	-	Shikimate_DH,Shikimate_dh_N
JBKGUT010000043.1_5	1123502.AQXD01000001_gene1273	1.56e-214	595.0	COG0059@1|root,COG0059@2|Bacteria,1MV7M@1224|Proteobacteria,1RNA8@1236|Gammaproteobacteria,1X35R@135614|Xanthomonadales	135614|Xanthomonadales	EH	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate	ilvC	-	1.1.1.86	ko:K00053	ko00290,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R03051,R04439,R04440,R05068,R05069,R05071	RC00726,RC00836,RC00837,RC01726	ko00000,ko00001,ko00002,ko01000	-	-	-	IlvC,IlvN
JBKGUT010000048.1_3	1111732.AZOD01000026_gene677	1.24e-276	764.0	COG0531@1|root,COG0531@2|Bacteria,1MXNJ@1224|Proteobacteria,1RMKV@1236|Gammaproteobacteria,1X49X@135614|Xanthomonadales	135614|Xanthomonadales	E	amino acid	-	-	-	-	-	-	-	-	-	-	-	-	AA_permease_2
JBKGUT010000059.1_5	630626.EBL_c32080	3.07e-05	46.6	COG0038@1|root,COG0038@2|Bacteria,1MV4K@1224|Proteobacteria,1RQJW@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Probably acts as an electrical shunt for an outwardly- directed proton pump that is linked to amino acid decarboxylation, as part of the extreme acid resistance (XAR) response	clcA	GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006821,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015078,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015672,GO:0015698,GO:0015706,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0031224,GO:0031226,GO:0031404,GO:0034220,GO:0042802,GO:0043167,GO:0043168,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071705,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:1902600	-	ko:K03281	-	-	-	-	ko00000	2.A.49	-	iAF1260.b0155,iB21_1397.B21_00153,iBWG_1329.BWG_0148,iE2348C_1286.E2348C_0162,iEC042_1314.EC042_0155,iEC55989_1330.EC55989_0149,iECBD_1354.ECBD_3463,iECDH10B_1368.ECDH10B_0135,iECDH1ME8569_1439.ECDH1ME8569_0149,iECD_1391.ECD_00154,iECIAI1_1343.ECIAI1_0153,iECO103_1326.ECO103_0155,iECSE_1348.ECSE_0156,iECUMN_1333.ECUMN_0152,iECW_1372.ECW_m0152,iEKO11_1354.EKO11_3761,iETEC_1333.ETEC_0151,iEcDH1_1363.EcDH1_3447,iEcE24377_1341.EcE24377A_0160,iEcolC_1368.EcolC_3504,iJO1366.b0155,iSSON_1240.SSON_0167,iUMNK88_1353.UMNK88_159,iWFL_1372.ECW_m0152,iY75_1357.Y75_RS00790,iZ_1308.Z0166	Voltage_CLC
JBKGUT010000068.1_4	1111732.AZOD01000011_gene528	8.9e-95	288.0	COG1473@1|root,COG1473@2|Bacteria,1MUIV@1224|Proteobacteria,1RQAM@1236|Gammaproteobacteria,1X3CG@135614|Xanthomonadales	135614|Xanthomonadales	S	N-acyl-L-amino acid amidohydrolase	-	-	3.5.1.32	ko:K01451	ko00360,map00360	-	R01424	RC00096,RC00162	ko00000,ko00001,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
JBKGUT010000068.1_8	511.JT27_12425	7.94e-247	687.0	COG1113@1|root,COG1113@2|Bacteria,1MUPS@1224|Proteobacteria,2VJP4@28216|Betaproteobacteria,3T1VU@506|Alcaligenaceae	28216|Betaproteobacteria	E	Amino acid permease	-	-	-	-	-	-	-	-	-	-	-	-	AA_permease
JBKGUT010000070.1_2	555778.Hneap_1377	0.0	1134.0	COG0525@1|root,COG0525@2|Bacteria,1MV7B@1224|Proteobacteria,1RNEB@1236|Gammaproteobacteria,1WWJI@135613|Chromatiales	135613|Chromatiales	J	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner	valS	-	6.1.1.9	ko:K01873	ko00970,map00970	M00359,M00360	R03665	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,Val_tRNA-synt_C,tRNA-synt_1
JBKGUT010000077.1_3	1111732.AZOD01000026_gene673	1.44e-221	615.0	COG0082@1|root,COG0082@2|Bacteria,1MU98@1224|Proteobacteria,1RMQS@1236|Gammaproteobacteria,1X365@135614|Xanthomonadales	135614|Xanthomonadales	E	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system	aroC	GO:0000166,GO:0003674,GO:0003824,GO:0004107,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009423,GO:0009987,GO:0010181,GO:0016053,GO:0016829,GO:0016835,GO:0016838,GO:0019438,GO:0019752,GO:0032553,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	4.2.3.5	ko:K01736	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R01714	RC00586	ko00000,ko00001,ko00002,ko01000	-	-	-	Chorismate_synt
JBKGUT010000082.1_11	1111732.AZOD01000006_gene50	0.0	1708.0	COG0060@1|root,COG0060@2|Bacteria,1MVBQ@1224|Proteobacteria,1RMTF@1236|Gammaproteobacteria,1X47W@135614|Xanthomonadales	135614|Xanthomonadales	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)	ileS	-	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1,zf-FPG_IleRS
