JBKGUZ010000003.1_3	1382305.AZUC01000010_gene2739	4.84e-140	402.0	COG1968@1|root,COG1968@2|Bacteria,1TPFA@1239|Firmicutes,4HB0M@91061|Bacilli,26E67@186818|Planococcaceae	91061|Bacilli	V	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin	uppP	-	3.6.1.27	ko:K06153	ko00550,map00550	-	R05627	RC00002	ko00000,ko00001,ko01000,ko01011	-	-	-	BacA
JBKGUZ010000004.1_19	1111732.AZOD01000032_gene375	3.2e-168	472.0	COG0767@1|root,COG0767@2|Bacteria,1MVPN@1224|Proteobacteria,1RM9H@1236|Gammaproteobacteria,1X51X@135614|Xanthomonadales	135614|Xanthomonadales	Q	ABC-type transport system involved in resistance to organic solvents permease component	yrbE	-	-	ko:K02066	ko02010,map02010	M00210,M00669,M00670	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	-	MlaE
JBKGUZ010000007.1_4	1111732.AZOD01000007_gene464	6.27e-16	73.2	COG1463@1|root,COG1463@2|Bacteria,1NCUG@1224|Proteobacteria,1RQ0Y@1236|Gammaproteobacteria,1X79T@135614|Xanthomonadales	135614|Xanthomonadales	Q	ABC-type transport system involved in resistance to organic solvents, periplasmic component	-	-	-	ko:K02067	ko02010,map02010	M00210,M00669,M00670	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	-	MlaD
JBKGUZ010000008.1_5	1111732.AZOD01000003_gene1128	4.32e-94	285.0	COG2091@1|root,COG2091@2|Bacteria	2|Bacteria	H	lysine biosynthetic process via aminoadipic acid	acpT	GO:0003674,GO:0003824,GO:0006082,GO:0006464,GO:0006520,GO:0006553,GO:0006629,GO:0006631,GO:0006633,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0008652,GO:0008897,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009987,GO:0016053,GO:0016740,GO:0016772,GO:0016780,GO:0018070,GO:0018193,GO:0018209,GO:0018215,GO:0019538,GO:0019752,GO:0019878,GO:0032787,GO:0036211,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:0072330,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.8.7	ko:K00997,ko:K06133	ko00770,map00770	-	R01625	RC00002	ko00000,ko00001,ko01000	-	-	iECNA114_1301.ECNA114_3584	ACPS
JBKGUZ010000020.1_1	1111732.AZOD01000023_gene1862	2e-216	599.0	COG0053@1|root,COG0053@2|Bacteria,1MUDS@1224|Proteobacteria,1RNS2@1236|Gammaproteobacteria,1X6BQ@135614|Xanthomonadales	135614|Xanthomonadales	P	Dimerisation domain of Zinc Transporter	-	-	-	-	-	-	-	-	-	-	-	-	Cation_efflux,ZT_dimer
JBKGUZ010000021.1_1	1111732.AZOD01000023_gene1862	9.07e-40	140.0	COG0053@1|root,COG0053@2|Bacteria,1MUDS@1224|Proteobacteria,1RNS2@1236|Gammaproteobacteria,1X6BQ@135614|Xanthomonadales	135614|Xanthomonadales	P	Dimerisation domain of Zinc Transporter	-	-	-	-	-	-	-	-	-	-	-	-	Cation_efflux,ZT_dimer
JBKGUZ010000030.1_4	1111732.AZOD01000001_gene1548	0.0	2157.0	COG0046@1|root,COG0047@1|root,COG0046@2|Bacteria,COG0047@2|Bacteria,1MYN4@1224|Proteobacteria,1RMRN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	F	Phosphoribosylformylglycinamidine synthase involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate	purL	-	6.3.5.3	ko:K01952	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04463	RC00010,RC01160	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C,GATase_5
JBKGUZ010000045.1_1	1111732.AZOD01000007_gene464	1.2e-111	322.0	COG1463@1|root,COG1463@2|Bacteria,1NCUG@1224|Proteobacteria,1RQ0Y@1236|Gammaproteobacteria,1X79T@135614|Xanthomonadales	135614|Xanthomonadales	Q	ABC-type transport system involved in resistance to organic solvents, periplasmic component	-	-	-	ko:K02067	ko02010,map02010	M00210,M00669,M00670	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	-	MlaD
JBKGUZ010000051.1_3	1111732.AZOD01000021_gene605	1.75e-179	500.0	COG4598@1|root,COG4598@2|Bacteria,1QTS2@1224|Proteobacteria,1RQYN@1236|Gammaproteobacteria,1XCE8@135614|Xanthomonadales	135614|Xanthomonadales	E	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran
JBKGUZ010000056.1_1	1111732.AZOD01000017_gene340	2.54e-250	692.0	COG1055@1|root,COG1055@2|Bacteria,1MUX4@1224|Proteobacteria,1RMAV@1236|Gammaproteobacteria,1X38Q@135614|Xanthomonadales	135614|Xanthomonadales	P	Involved in arsenical resistance. Thought to form the channel of an arsenite pump	-	-	-	ko:K03893	-	-	-	-	ko00000,ko02000	2.A.45.1,3.A.4.1	-	-	ArsB,CitMHS
JBKGUZ010000058.1_14	1111732.AZOD01000029_gene1541	2.13e-62	191.0	COG0640@1|root,COG0640@2|Bacteria,1N72Q@1224|Proteobacteria,1SCH5@1236|Gammaproteobacteria,1X848@135614|Xanthomonadales	135614|Xanthomonadales	K	helix_turn_helix, Arsenical Resistance Operon Repressor	-	GO:0000976,GO:0001067,GO:0001130,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032991,GO:0032993,GO:0043565,GO:0044212,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141	-	-	-	-	-	-	-	-	-	-	HTH_5
