JASLII010000344.1_3	1111732.AZOD01000026_gene653	1.68e-26	100.0	COG3197@1|root,COG3197@2|Bacteria	2|Bacteria	P	Cytochrome oxidase maturation protein	ccoS	-	-	-	-	-	-	-	-	-	-	-	FixS
JASLII010000230.1_3	1111732.AZOD01000033_gene745	1.19e-98	289.0	COG2128@1|root,COG2128@2|Bacteria,1R5EC@1224|Proteobacteria,1S2VV@1236|Gammaproteobacteria,1X8E6@135614|Xanthomonadales	135614|Xanthomonadales	S	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity	-	-	-	-	-	-	-	-	-	-	-	-	CMD
JASLII010000102.1_11	1111732.AZOD01000004_gene926	7.51e-179	508.0	COG0635@1|root,COG0635@2|Bacteria,1MV1I@1224|Proteobacteria,1RN1Y@1236|Gammaproteobacteria,1X4K3@135614|Xanthomonadales	135614|Xanthomonadales	H	Belongs to the anaerobic coproporphyrinogen-III oxidase family	-	-	-	-	-	-	-	-	-	-	-	-	HemN_C,Radical_SAM
JASLII010000245.1_7	1111732.AZOD01000023_gene1863	5.45e-218	605.0	COG1858@1|root,COG1858@2|Bacteria,1MV70@1224|Proteobacteria,1RPPQ@1236|Gammaproteobacteria,1X493@135614|Xanthomonadales	135614|Xanthomonadales	P	cytochrome c peroxidase	-	-	1.11.1.5	ko:K00428	-	-	-	-	ko00000,ko01000	-	-	-	CCP_MauG,Cytochrom_C
JASLII010000220.1_1	1111732.AZOD01000030_gene1373	0.0	1466.0	COG1080@1|root,COG1080@2|Bacteria,1MUT8@1224|Proteobacteria,1RN6R@1236|Gammaproteobacteria,1X33X@135614|Xanthomonadales	135614|Xanthomonadales	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr)	fruB	-	2.7.1.202,2.7.3.9	ko:K02768,ko:K08483,ko:K11183	ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060	M00273	R03232	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1,8.A.7	-	-	PEP-utilisers_N,PEP-utilizers,PEP-utilizers_C,PTS-HPr,PTS_EIIA_2
JASLII010000220.1_2	1111732.AZOD01000030_gene1372	1.45e-202	564.0	COG1105@1|root,COG1105@2|Bacteria,1MVNW@1224|Proteobacteria,1RP6K@1236|Gammaproteobacteria,1X500@135614|Xanthomonadales	135614|Xanthomonadales	H	Belongs to the carbohydrate kinase PfkB family	fruK	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0019200,GO:0044237,GO:0044238,GO:0044262,GO:0044424,GO:0044444,GO:0044464,GO:0046835,GO:0071704	2.7.1.56	ko:K00882	ko00051,map00051	-	R02071	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	PfkB
JASLII010000147.1_5	585.DR95_2380	0.0	1033.0	COG4248@1|root,COG4248@2|Bacteria,1R6PB@1224|Proteobacteria,1RZBJ@1236|Gammaproteobacteria,3Z36P@583|Proteus	1236|Gammaproteobacteria	S	Lipopolysaccharide kinase (Kdo/WaaP) family	-	-	-	-	-	-	-	-	-	-	-	-	Pkinase
JASLII010000152.1_6	1111732.AZOD01000008_gene12	1.42e-110	322.0	COG2863@1|root,COG2863@2|Bacteria,1RGTS@1224|Proteobacteria,1S6MS@1236|Gammaproteobacteria,1X725@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrom_C
JASLII010000152.1_7	1111732.AZOD01000008_gene13	5.04e-194	543.0	COG3258@1|root,COG3258@2|Bacteria,1NIQK@1224|Proteobacteria,1RZH1@1236|Gammaproteobacteria,1X5DH@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrome_CBB3
JASLII010000212.1_2	754476.Q7A_2453	2.56e-62	203.0	COG1496@1|root,COG1496@2|Bacteria,1MW2H@1224|Proteobacteria,1RNV4@1236|Gammaproteobacteria,460JQ@72273|Thiotrichales	72273|Thiotrichales	S	Belongs to the multicopper oxidase YfiH RL5 family	-	-	-	ko:K05810	-	-	-	-	ko00000,ko01000	-	-	-	Cu-oxidase_4
