JBKGUZ010000007.1_1	1111732.AZOD01000007_gene461	1.94e-127	365.0	COG1043@1|root,COG1043@2|Bacteria,1MUHQ@1224|Proteobacteria,1RPHB@1236|Gammaproteobacteria,1X4NK@135614|Xanthomonadales	135614|Xanthomonadales	I	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxA	-	2.3.1.129	ko:K00677	ko00540,ko01100,ko01503,map00540,map01100,map01503	M00060	R04567	RC00039,RC00055	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	Acetyltransf_11,Hexapep
JBKGUZ010000007.1_2	1111732.AZOD01000007_gene462	7.88e-244	675.0	COG0763@1|root,COG0763@2|Bacteria,1MVBI@1224|Proteobacteria,1RNS1@1236|Gammaproteobacteria,1X349@135614|Xanthomonadales	135614|Xanthomonadales	M	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxB	GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008289,GO:0008610,GO:0008654,GO:0009058,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0019637,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0046467,GO:0046493,GO:0071704,GO:0090407,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901576,GO:1903509	2.4.1.182	ko:K00748	ko00540,ko01100,map00540,map01100	M00060	R04606	RC00005,RC00059	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005	-	GT19	-	LpxB
JBKGUZ010000021.1_2	1111732.AZOD01000023_gene1863	4.73e-240	660.0	COG1858@1|root,COG1858@2|Bacteria,1MV70@1224|Proteobacteria,1RPPQ@1236|Gammaproteobacteria,1X493@135614|Xanthomonadales	135614|Xanthomonadales	P	cytochrome c peroxidase	-	-	1.11.1.5	ko:K00428	-	-	-	-	ko00000,ko01000	-	-	-	CCP_MauG,Cytochrom_C
JBKGUZ010000022.1_2	1137799.GZ78_03965	5.96e-44	155.0	COG0748@1|root,COG0748@2|Bacteria,1RFVC@1224|Proteobacteria,1S3AV@1236|Gammaproteobacteria,1XQ69@135619|Oceanospirillales	135619|Oceanospirillales	P	Heme iron utilization protein	-	-	-	-	-	-	-	-	-	-	-	-	DUF2470,Putative_PNPOx,Pyrid_oxidase_2
JBKGUZ010000025.1_2	1111732.AZOD01000009_gene1175	1.42e-208	580.0	COG1294@1|root,COG1294@2|Bacteria,1MURP@1224|Proteobacteria,1RN0N@1236|Gammaproteobacteria,1X35A@135614|Xanthomonadales	135614|Xanthomonadales	C	oxidase, subunit II	cioB	-	1.10.3.14	ko:K00426	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	Cyt_bd_oxida_II
JBKGUZ010000025.1_3	1111732.AZOD01000009_gene1174	0.0	881.0	COG1271@1|root,COG1271@2|Bacteria,1MV60@1224|Proteobacteria,1RN2U@1236|Gammaproteobacteria,1X4FJ@135614|Xanthomonadales	135614|Xanthomonadales	C	oxidase, subunit	-	-	1.10.3.14	ko:K00425	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	Cyt_bd_oxida_I
JBKGUZ010000026.1_17	1111732.AZOD01000026_gene660	0.0	983.0	COG3278@1|root,COG3278@2|Bacteria,1MU18@1224|Proteobacteria,1RM7I@1236|Gammaproteobacteria,1X3WE@135614|Xanthomonadales	135614|Xanthomonadales	C	Belongs to the heme-copper respiratory oxidase family	-	-	1.9.3.1	ko:K00404	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00156	-	-	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	COX1
JBKGUZ010000026.1_18	1111732.AZOD01000026_gene659	3.31e-198	549.0	COG2993@1|root,COG2993@2|Bacteria,1MXEY@1224|Proteobacteria,1RPU6@1236|Gammaproteobacteria,1X3EF@135614|Xanthomonadales	135614|Xanthomonadales	C	COG2993 Cbb3-type cytochrome oxidase, cytochrome c subunit	-	-	-	ko:K00405	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00156	-	-	ko00000,ko00001,ko00002	3.D.4.3	-	-	FixO
JBKGUZ010000026.1_19	1111732.AZOD01000026_gene658	7.17e-42	137.0	2EHQ5@1|root,33BFX@2|Bacteria,1NJW1@1224|Proteobacteria,1SHMS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Cbb3-type cytochrome oxidase component FixQ	-	-	-	-	-	-	-	-	-	-	-	-	FixQ
JBKGUZ010000026.1_20	1111732.AZOD01000026_gene657	1.63e-261	715.0	COG2010@1|root,COG2010@2|Bacteria,1MUCW@1224|Proteobacteria,1RPYJ@1236|Gammaproteobacteria,1X4SS@135614|Xanthomonadales	135614|Xanthomonadales	C	C-type cytochrome. Part of the cbb3-type cytochrome c oxidase complex	-	-	-	ko:K00406	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00156	-	-	ko00000,ko00001,ko00002	3.D.4.3	-	-	Cytochrome_CBB3,FixP_N
JBKGUZ010000026.1_24	1111732.AZOD01000026_gene653	1.24e-43	143.0	COG3197@1|root,COG3197@2|Bacteria	2|Bacteria	P	Cytochrome oxidase maturation protein	ccoS	-	-	-	-	-	-	-	-	-	-	-	FixS
JBKGUZ010000037.1_2	1111732.AZOD01000008_gene12	1.63e-151	426.0	COG2863@1|root,COG2863@2|Bacteria,1RGTS@1224|Proteobacteria,1S6MS@1236|Gammaproteobacteria,1X725@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrom_C
JBKGUZ010000037.1_3	1111732.AZOD01000008_gene13	9.89e-217	601.0	COG3258@1|root,COG3258@2|Bacteria,1NIQK@1224|Proteobacteria,1RZH1@1236|Gammaproteobacteria,1X5DH@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrome_CBB3
JBKGUZ010000039.1_2	270374.MELB17_19946	4.94e-90	293.0	COG1208@1|root,COG1208@2|Bacteria,1P2A8@1224|Proteobacteria,1S213@1236|Gammaproteobacteria,46BG7@72275|Alteromonadaceae	1236|Gammaproteobacteria	JM	COG1208 Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis translation initiation factor 2B, gamma epsilon subunits eIF-2Bgamma eIF-2Bepsilon	-	-	-	-	-	-	-	-	-	-	-	-	APH
JBKGUZ010000039.1_3	696748.ASU2_10085	1.37e-100	299.0	COG1208@1|root,COG1208@2|Bacteria,1QYMU@1224|Proteobacteria,1T4QD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	JM	COG1208 Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis translation initiation factor 2B, gamma epsilon subunits eIF-2Bgamma eIF-2Bepsilon	-	-	-	-	-	-	-	-	-	-	-	-	-
JBKGUZ010000039.1_5	1111732.AZOD01000029_gene1533	3.07e-130	392.0	COG3563@1|root,COG3563@2|Bacteria,1MW0T@1224|Proteobacteria,1RPMS@1236|Gammaproteobacteria,1X6E1@135614|Xanthomonadales	135614|Xanthomonadales	M	Capsule polysaccharide biosynthesis protein	-	-	-	ko:K07266	-	-	-	-	ko00000	-	-	-	Capsule_synth
JBKGUZ010000041.1_8	1111732.AZOD01000017_gene344	4.45e-255	702.0	COG2956@1|root,COG2956@2|Bacteria,1MVDP@1224|Proteobacteria,1RP29@1236|Gammaproteobacteria,1X361@135614|Xanthomonadales	135614|Xanthomonadales	G	Modulates cellular lipopolysaccharide (LPS) levels by regulating LpxC, which is involved in lipid A biosynthesis. May act by modulating the proteolytic activity of FtsH towards LpxC. May also coordinate assembly of proteins involved in LPS synthesis at the plasma membrane	lapB	-	-	ko:K19804	-	-	-	-	ko00000	-	-	-	TPR_16,TPR_7
JBKGUZ010000058.1_10	1111732.AZOD01000029_gene1537	1.16e-237	652.0	COG3258@1|root,COG3258@2|Bacteria,1NIQK@1224|Proteobacteria,1RYGP@1236|Gammaproteobacteria,1X4SI@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	1.8.2.2	ko:K19713	-	-	-	-	ko00000,ko01000	-	-	-	Cytochrome_CBB3
JBKGUZ010000068.1_3	1111732.AZOD01000002_gene1811	6.77e-102	297.0	COG2128@1|root,COG2128@2|Bacteria,1MUDM@1224|Proteobacteria,1RZGS@1236|Gammaproteobacteria,1XBRV@135614|Xanthomonadales	135614|Xanthomonadales	S	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity	-	-	-	-	-	-	-	-	-	-	-	-	CMD
JBKGUZ010000075.1_14	1111732.AZOD01000002_gene1855	7.08e-220	606.0	COG2837@1|root,COG2837@2|Bacteria,1MWDD@1224|Proteobacteria,1RMZJ@1236|Gammaproteobacteria,1XCP0@135614|Xanthomonadales	135614|Xanthomonadales	P	Dyp-type peroxidase family	-	-	-	-	-	-	-	-	-	-	-	-	Dyp_perox
