JASLHE010000135.1_4	1111732.AZOD01000023_gene1863	1.13e-251	690.0	COG1858@1|root,COG1858@2|Bacteria,1MV70@1224|Proteobacteria,1RPPQ@1236|Gammaproteobacteria,1X493@135614|Xanthomonadales	135614|Xanthomonadales	P	cytochrome c peroxidase	-	-	1.11.1.5	ko:K00428	-	-	-	-	ko00000,ko01000	-	-	-	CCP_MauG,Cytochrom_C
JASLHE010000233.1_3	205914.HS_0016	1.53e-129	379.0	COG0451@1|root,COG0451@2|Bacteria,1MU1A@1224|Proteobacteria,1RQD8@1236|Gammaproteobacteria,1Y7BR@135625|Pasteurellales	135625|Pasteurellales	GM	Polysaccharide biosynthesis protein	-	-	1.1.1.410	ko:K22025	-	-	-	-	ko00000,ko01000	-	-	-	Epimerase
JASLHE010000051.1_4	1111732.AZOD01000025_gene1703	4.49e-83	246.0	COG3125@1|root,COG3125@2|Bacteria,1RHE5@1224|Proteobacteria,1S6KQ@1236|Gammaproteobacteria,1X6XP@135614|Xanthomonadales	135614|Xanthomonadales	C	Prokaryotic Cytochrome C oxidase subunit IV	-	-	-	ko:K02300	ko00190,ko01100,map00190,map01100	M00417	-	-	ko00000,ko00001,ko00002	3.D.4.5	-	-	COX4_pro
JASLHE010000051.1_5	1111732.AZOD01000025_gene1704	1.4e-136	387.0	COG1845@1|root,COG1845@2|Bacteria,1MUCK@1224|Proteobacteria,1RN9D@1236|Gammaproteobacteria,1X4MW@135614|Xanthomonadales	135614|Xanthomonadales	C	cytochrome o ubiquinol oxidase subunit III	cyoC	-	-	ko:K02299	ko00190,ko01100,map00190,map01100	M00417	-	-	ko00000,ko00001,ko00002	3.D.4.5	-	-	COX3
JASLHE010000051.1_6	1111732.AZOD01000025_gene1705	0.0	1264.0	COG0843@1|root,COG0843@2|Bacteria,1MU7S@1224|Proteobacteria,1RPC3@1236|Gammaproteobacteria,1X34C@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B	cyoB	-	1.10.3.10	ko:K02298	ko00190,ko01100,map00190,map01100	M00417	R11335	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.5	-	-	COX1
JASLHE010000051.1_7	1111732.AZOD01000025_gene1706	1.22e-218	603.0	COG1622@1|root,COG1622@2|Bacteria,1MWHZ@1224|Proteobacteria,1RP4H@1236|Gammaproteobacteria,1X3HN@135614|Xanthomonadales	135614|Xanthomonadales	C	ubiquinol oxidase subunit	cyoA	-	1.10.3.10	ko:K02297	ko00190,ko01100,map00190,map01100	M00417	R11335	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.5	-	-	COX2,COX_ARM
JASLHE010000179.1_1	1111732.AZOD01000011_gene526	1.14e-107	311.0	COG2077@1|root,COG2077@2|Bacteria,1RAJ9@1224|Proteobacteria,1S263@1236|Gammaproteobacteria,1X6I6@135614|Xanthomonadales	135614|Xanthomonadales	O	Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides	tpx	-	1.11.1.15	ko:K11065	-	-	-	-	ko00000,ko01000	-	-	-	Redoxin
JASLHE010000261.1_1	1111732.AZOD01000001_gene1589	4.08e-248	690.0	COG2132@1|root,COG2132@2|Bacteria,1MU0J@1224|Proteobacteria,1RN7I@1236|Gammaproteobacteria,1X7J6@135614|Xanthomonadales	135614|Xanthomonadales	Q	Multicopper oxidase	-	-	-	-	-	-	-	-	-	-	-	-	Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3
JASLHE010000001.1_3	1111732.AZOD01000015_gene1401	0.0	1373.0	COG1529@1|root,COG1529@2|Bacteria,1QTTJ@1224|Proteobacteria,1RNCM@1236|Gammaproteobacteria,1X5W8@135614|Xanthomonadales	135614|Xanthomonadales	C	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	-	-	-	-	-	-	-	-	-	-	-	-	Ald_Xan_dh_C2
JASLHE010000012.1_1	1111732.AZOD01000008_gene13	1.1e-13	69.3	COG3258@1|root,COG3258@2|Bacteria,1NIQK@1224|Proteobacteria,1RZH1@1236|Gammaproteobacteria,1X5DH@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrome_CBB3
